id,title,description,availability,condition,price,link,image_link,brand,product_type
GLS-TROP-CAN,Glass' Tropical Canette 12x25cl,Glass' Tropical canette 12x25cl | Vendu par pack de 12,in stock,new,36.00 MAD,https://oulmes.ma/produit/GLS-TROP-CAN,https://oulmes.ma/images/GLS-TROP-CAN.jpg,GLASS',Boisson gazeuse > GLASS'
GLS-TROP-12x33,Glass' Tropical pack 12x33cl,Glass' Tropical 12x33cl | Vendu par pack de 12,in stock,new,42.00 MAD,https://oulmes.ma/produit/GLS-TROP-12x33,https://oulmes.ma/images/GLS-TROP-12x33.jpg,GLASS',Boisson gazeuse > GLASS'
GLS-TROP-6x150,Glass' Tropical pack 6x1.5L,Glass' Tropical 6x1.5L | Vendu par pack de 6,in stock,new,42.00 MAD,https://oulmes.ma/produit/GLS-TROP-6x150,https://oulmes.ma/images/GLS-TROP-6x150.jpg,GLASS',Boisson gazeuse > GLASS'
GLS-TROP-6x1L,Glass' Tropical pack 6x1L,Glass' Tropical 6x1L | Vendu par pack de 6,in stock,new,30.00 MAD,https://oulmes.ma/produit/GLS-TROP-6x1L,https://oulmes.ma/images/GLS-TROP-6x1L.jpg,GLASS',Boisson gazeuse > GLASS'
ORA-Z-6x1L,Orangina Zero pack 6x1L,Boisson gazeuse à l'orange zero 6x1L | Vendu par pack de 6,in stock,new,66.00 MAD,https://oulmes.ma/produit/ORA-Z-6x1L,https://oulmes.ma/images/ORA-Z-6x1L.jpg,Orangina,Boisson gazeuse > Orangina
ORA-Z-8x50,Orangina Zero pack 8x50cl,Boisson gazeuse à l'orange zero 8x50cl | Vendu par pack de 8,in stock,new,56.00 MAD,https://oulmes.ma/produit/ORA-Z-8x50,https://oulmes.ma/images/ORA-Z-8x50.jpg,Orangina,Boisson gazeuse > Orangina
ORA-6x1L,Orangina pack 6x1L,Boisson gazeuse à l'orange 6x1L | Vendu par pack de 6,in stock,new,66.00 MAD,https://oulmes.ma/produit/ORA-6x1L,https://oulmes.ma/images/ORA-6x1L.jpg,Orangina,Boisson gazeuse > Orangina
ORA-8x50,Orangina pack 8x50cl,Boisson gazeuse à l'orange 8x50cl | Vendu par pack de 8,in stock,new,56.00 MAD,https://oulmes.ma/produit/ORA-8x50,https://oulmes.ma/images/ORA-8x50.jpg,Orangina,Boisson gazeuse > Orangina
ORA-CAN-12x25,Orangina pack canettes 12x25cl,Boisson gazeuse à l'orange canettes 12x25cl | Vendu par pack de 12,in stock,new,46.80 MAD,https://oulmes.ma/produit/ORA-CAN-12x25,https://oulmes.ma/images/ORA-CAN-12x25.jpg,Orangina,Boisson gazeuse > Orangina
OUL-BF-MOJITO,Oulmès Bulles Fruitées Mojito verre pack 12x25cl,Bulles Fruitées Mojito verre 12x25cl | Vendu par pack de 12,in stock,new,96.00 MAD,https://oulmes.ma/produit/OUL-BF-MOJITO,https://oulmes.ma/images/OUL-BF-MOJITO.jpg,Oulmès,Boisson gazeuse > Oulmès
OUL-BF-ORANGE,Oulmès Bulles Fruitées Orange verre pack 12x25cl,Bulles Fruitées Orange verre 12x25cl | Vendu par pack de 12,in stock,new,96.00 MAD,https://oulmes.ma/produit/OUL-BF-ORANGE,https://oulmes.ma/images/OUL-BF-ORANGE.jpg,Oulmès,Boisson gazeuse > Oulmès
OUL-BF-TROPIC,Oulmès Bulles Fruitées Tropic verre pack 12x25cl,Bulles Fruitées Tropic verre 12x25cl | Vendu par pack de 12,in stock,new,96.00 MAD,https://oulmes.ma/produit/OUL-BF-TROPIC,https://oulmes.ma/images/OUL-BF-TROPIC.jpg,Oulmès,Boisson gazeuse > Oulmès
OUL-BF-ROUGE,Oulmès Bulles Fruitées rouges verre pack 12x25cl,Bulles Fruitées rouges verre 12x25cl | Vendu par pack de 12,in stock,new,96.00 MAD,https://oulmes.ma/produit/OUL-BF-ROUGE,https://oulmes.ma/images/OUL-BF-ROUGE.jpg,Oulmès,Boisson gazeuse > Oulmès
OUL-BF-PINA,Oulmès Bulles Piña Colada verre pack 12x25cl,Bulles Piña Colada verre 12x25cl | Vendu par pack de 12,in stock,new,96.00 MAD,https://oulmes.ma/produit/OUL-BF-PINA,https://oulmes.ma/images/OUL-BF-PINA.jpg,Oulmès,Boisson gazeuse > Oulmès
OUL-VER-12x75,Oulmès Easy Open verre pack 12x75cl,Eau minérale gazeuse Easy Open verre 12x75cl | Vendu par pack de 12,in stock,new,156.00 MAD,https://oulmes.ma/produit/OUL-VER-12x75,https://oulmes.ma/images/OUL-VER-12x75.jpg,Oulmès,Eau gazeuse > Oulmès
OUL-VER-12x25,Oulmès classique verre pack 12x25cl,Eau minérale gazeuse classique verre 12x25cl | Vendu par pack de 12,in stock,new,60.00 MAD,https://oulmes.ma/produit/OUL-VER-12x25,https://oulmes.ma/images/OUL-VER-12x25.jpg,Oulmès,Eau gazeuse > Oulmès
OUL-12x33,Oulmès pack 12x33cl,Eau minérale gazeuse 12x33cl | Vendu par pack de 12,in stock,new,48.00 MAD,https://oulmes.ma/produit/OUL-12x33,https://oulmes.ma/images/OUL-12x33.jpg,Oulmès,Eau gazeuse > Oulmès
OUL-VER-12x33,Oulmès verre pack 12x33cl,Eau minérale gazeuse verre 12x33cl | Vendu par pack de 12,in stock,new,84.00 MAD,https://oulmes.ma/produit/OUL-VER-12x33,https://oulmes.ma/images/OUL-VER-12x33.jpg,Oulmès,Eau gazeuse > Oulmès
SA-SPORT-6x75,Sidi Ali Bouchon sport pack 6x75cl,Eau minérale plate bouchon sport 6x75cl | Vendu par pack de 6,in stock,new,24.00 MAD,https://oulmes.ma/produit/SA-SPORT-6x75,https://oulmes.ma/images/SA-SPORT-6x75.jpg,Sidi Ali,Eau plate > Sidi Ali
